o_id o_long o_lat d_id d_long d_lat
o1 370143.59 6175369.68 d1 368148.09 6173656.57
o2 370143.59 6175369.68 d2 367976.23 6175333.91
o3 370143.59 6175369.68 d3 369367.39 6173126.35
o4 370143.59 6175369.68 d4 368848.42 6172489.42
o5 370143.59 6175369.68 d5 367342.86 6174623.76
o6 370143.59 6175369.68 d6 371186.65 6172861.71
o7 370143.59 6175369.68 d7 370957.11 6172476.71
